"seller_id","total_orders","total_revenue","avg_review_score"
"5a8e7d5003a1f221f9e1d6e411de7c23",139,11171.90,4.17
"95e03ca3d4146e4011985981aeb959b9",175,11109.76,3.99
"dd2bdf855a9172734fbc3744021ae9b9",108,11076.60,3.80
"ccb83a794700270fde70898fe9ff368b",12,11062.00,4.33
"8d956fec2e4337affcb520f56fd8cbfd",211,11052.12,4.19
"7ea5bfa6c340f58f8e71fc1f0412b0d6",98,11002.89,4.08
"54965bbe3e4f07ae045b90b0b8541f52",78,10961.30,2.94
"0ea22c1cfbdc755f86b9b54b39c16043",237,10945.90,4.33
"ce27a3cc3c8cc1ea79d11e561e9bebb6",135,10730.65,3.87
"c9c7905cffc4ef9ff9f113554423e671",127,10712.18,4.16
"bd23da7354813347129d751591d1a6e2",89,10634.20,4.03
"f3b80352b986ab4d1057a4b724be19d0",87,10505.10,4.13
"f262cbc1c910c83959f849465454ddd3",192,10502.82,4.09
"c864036feaab8c1659f65ea4faebe1da",58,10454.20,4.57
"b499c00f28f4b7069ff6550af8c1348a",152,10357.12,4.14
"ea566164622c6b439516ab18062c42cd",50,10309.42,3.75
"33a6f4b1e7cdc205511e76ba1b6e0186",105,10295.01,4.36
"9d5a9018aee56acb367ba9c3f05d1d6a",67,10292.31,4.41
"1c5e4e49b9079480255b49d50aac1aa9",12,10173.11,4.33
"7b1222c3624aa89b9558b50a2594188c",22,10103.52,4.45
"5058e8c1e82653974541e83690655b4a",63,10022.82,3.08
"0df3984f9dfb3d49ac6366acbd3bbb85",87,10021.49,4.30
"5343d0649eca2a983820bfe93fc4d17e",71,10000.64,3.61
"054694fa03fe82cec4b7551487331d74",21,9983.10,3.36
"9d4db00d65d7760644ac0c14edb5fd86",98,9979.70,4.52
"5882820ef11c4c068eea0677a7a879b4",14,9925.50,4.15
"4830e40640734fc1c52cd21127c341d4",210,9903.45,4.10
"17ca9b9e9b9ef8fdb529001b49ebb50f",116,9824.80,4.02
"ef506c96320abeedfb894c34db06f478",324,9811.42,3.90
"7040e82f899a04d1b434b795a43b4617",212,9738.20,3.53
"7b07b3c7487f0ea825fc6df75abd658b",93,9731.85,4.34
"ca3bd7cd9f149df75950150d010fe4a2",71,9731.85,3.72
"01cf7e3d21494c41fb86034f2e714fa1",61,9729.36,4.21
"17306570e772e7718c92a562d33f5f1d",29,9669.80,3.63
"e96498ed8daaa3e9c23f7a62da76591c",34,9619.09,3.94
"3db66a856d18a9cba7c9241fc5221c50",94,9618.10,4.17
"36a968b544695394e4e9d7572688598f",154,9617.77,3.64
"31344c16881c08a8a72c6d2eb29918c1",43,9615.70,4.35
"e7df4cd29ab5abab70fb0783ddb53987",23,9608.70,4.29
"73a63f72308aa20a46f4b1632018f196",29,9606.80,4.05
"4e7c18b98d84e05cbae3ff0ff03846c2",82,9584.90,4.14
"b2ac621f0d0322434d04a12b078b9369",30,9575.50,4.40
"1c129092bf23f28a5930387c980c0dfc",201,9553.62,4.17
"270297ead4c65a6cd2593960d2af6b21",18,9422.40,3.74
"81a1104df0f08b59c68aa5b03cfe398e",73,9420.88,4.27
"066a6914e1ebf3ea95a216c73a986b91",68,9410.38,3.97
"cb8bcce248bb1fb274ba762d8b971456",68,9402.20,4.26
"5b8154610ebb21fb90eb587365e673df",38,9397.54,4.20
"3c487ae8f8d7542beff5788e2e0aea83",30,9385.70,3.91
"aaed1309374718fdd995ee4c58c9dfcd",105,9376.95,4.05
"8b28d096634035667e8263d57ba3368c",143,9375.70,3.86
"048c2757535328e0d7dac690ad3c0aae",51,9264.78,4.18
"aafe36600ce604f205b86b5084d3d767",129,9251.40,4.38
"8e8a7ce9f2f970dc00e2acf6f6e199f6",65,9236.00,4.00
"624f4ece8da4aafb77699233d480f8ef",53,9205.00,4.19
"dd7ddc04e1b6c2c614352b383efe2d36",122,9178.51,3.76
"6c12e40690c335dbc2f68a4134d30dc1",16,9139.20,4.06
"f80edd2c5aaa505cc4b0a3b219abf4b8",119,9108.20,4.08
"0db783cfcd3b73998abc6e10e59a102f",132,9077.40,4.21
"06df0c10d34e459d9672bc77388742eb",26,9070.00,4.37
"fffd5413c0700ac820c7069d66d98c89",60,9062.30,3.87
"9b013e03b2ab786505a1d3b5c0756754",174,9027.40,4.00
"5f2684dab12e59f83bef73ae57724e45",68,9000.87,3.77
"403aa86912527d730337ffcb0fb096ab",11,8959.89,4.00
"f27e33c6d29b5138fa9967bcd445b6d5",93,8888.30,4.09
"6d803cb79cc31c41c4c789a75933b3c7",58,8886.30,4.28
"32b8764b4ef628b53608fc34011fcc13",36,8884.00,4.24
"d03698c2efd04a549382afa6623e27fb",18,8865.47,4.52
"1da3aeb70d7989d1e6d9b0e887f97c23",265,8849.50,4.07
"2089a6d640999f9b9141ac719b2af596",44,8830.82,3.73
"a49928bcdf77c55c6d6e05e09a9b4ca5",98,8816.70,2.95
"562fc2f2c2863ab7e79a9e4388a58a14",260,8814.20,4.24
"af4a0e4cfe1d9c26b6712b1be25a72e5",21,8757.98,3.50
"18a349e75d307f4b4cc646a691ed4216",121,8711.53,3.39
"6c7d50c24b3ccd2fd83b44d8bb34e073",114,8699.34,4.39
